,Unnamed: 0,channel_id,channel_title_name,totalchannel_views_count,total_subscriber_count,total_video_count,playlist_id,playlist_name,video_id,title_name,liveBroadcastContent,total_views_count,publishing_date,likeCount,favoriteCount,commentCount
0,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,LlKzq__kQeE,Introduction to Tuples in Python,none,5781,2023-08-20T16:30:04Z,140,0,total_comment_count
1,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,9nN-Pb6FHVs,Accessing Tuple Items in Python,none,3545,2023-08-22T14:00:07Z,69,0,total_comment_count
2,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,tHmIf6WU26E,Updating a Tuple in Python,none,4233,2023-08-23T16:15:03Z,87,0,total_comment_count
3,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,yT-wF9_88Nw,Unpacking a Tuple in Python,none,4199,2023-08-25T15:30:13Z,120,0,total_comment_count
4,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,kP1Q_cwqEeA,Python Programming - Rapid Fire Quiz 3,none,4038,2023-08-26T15:45:01Z,85,0,total_comment_count
5,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,LlKzq__kQeE,Introduction to Tuples in Python,none,5783,2023-08-20T16:30:04Z,140,0,total_comment_count
6,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,9nN-Pb6FHVs,Accessing Tuple Items in Python,none,3547,2023-08-22T14:00:07Z,69,0,total_comment_count
7,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,tHmIf6WU26E,Updating a Tuple in Python,none,4238,2023-08-23T16:15:03Z,87,0,total_comment_count
8,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,yT-wF9_88Nw,Unpacking a Tuple in Python,none,4205,2023-08-25T15:30:13Z,120,0,total_comment_count
9,0.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRh5OzEIQOQ0-hx3rNHxsDvz,Tuples in Python,kP1Q_cwqEeA,Python Programming - Rapid Fire Quiz 3,none,4039,2023-08-26T15:45:01Z,85,0,total_comment_count
10,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,Hea64Ey_gVU,Introduction to Dictionaries in Python,none,4909,2023-08-11T13:45:01Z,102,0,total_comment_count
11,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,6RAWUwWmlOg,Accessing Dictionary Items in Python,none,4360,2023-08-12T16:45:00Z,91,0,total_comment_count
12,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,HXDN0lrJ6xM,Changing and Adding Dictionary Items in Python,none,4583,2023-08-13T17:02:05Z,87,0,total_comment_count
13,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,vx7ngiaSpxM,Removing Dictionary Items in Python,none,4001,2023-08-16T15:00:49Z,73,0,total_comment_count
14,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,GQaU2Z5ZbZc,Copying a Dictionary in Python,none,3743,2023-08-19T13:30:09Z,85,0,total_comment_count
15,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,Hea64Ey_gVU,Introduction to Dictionaries in Python,none,4911,2023-08-11T13:45:01Z,102,0,total_comment_count
16,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,6RAWUwWmlOg,Accessing Dictionary Items in Python,none,4362,2023-08-12T16:45:00Z,91,0,total_comment_count
17,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,HXDN0lrJ6xM,Changing and Adding Dictionary Items in Python,none,4586,2023-08-13T17:02:05Z,87,0,total_comment_count
18,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,vx7ngiaSpxM,Removing Dictionary Items in Python,none,4004,2023-08-16T15:00:49Z,73,0,total_comment_count
19,1.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRipg4q6tM3p9dCH1l28kiXD,Dictionaries in Python,GQaU2Z5ZbZc,Copying a Dictionary in Python,none,3745,2023-08-19T13:30:09Z,85,0,total_comment_count
20,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,f2RATcdPcrE,Introduction to Lists in Python,none,13910,2023-07-26T14:30:28Z,220,0,total_comment_count
21,2.0,UCQYMhOMi_Cdj1CEAU-fv80A,Neso Academy,512214058.0,2370000.0,2556.0,PLBlnK6fEyqRjSgal6OIEfzK4upXvkHSxW,Lists in Python,pLM1N5Esg8Q,Accessing Elements of a List in Python,none,7748,2023-07-28T17:00:38Z,132,0,total_comment_count
